   0.0000000e+00  -8.9748095e-02
   1.0000000e+00  -9.4126429e-02
   2.0000000e+00  -9.3389398e-02
   3.0000000e+00  -8.9510037e-02
   4.0000000e+00  -8.4393781e-02
   5.0000000e+00  -7.9307103e-02
   6.0000000e+00  -7.4535656e-02
   7.0000000e+00  -6.9363474e-02
   8.0000000e+00  -6.2370666e-02
   9.0000000e+00  -5.1959543e-02
   1.0000000e+01  -3.6962132e-02
   1.1000000e+01  -1.7166935e-02
   1.2000000e+01   6.3726302e-03
   1.3000000e+01   3.1332672e-02
   1.4000000e+01   5.4433544e-02
   1.5000000e+01   7.2023477e-02
   1.6000000e+01   8.0819275e-02
   1.7000000e+01   7.8648954e-02
   1.8000000e+01   6.5024452e-02
   1.9000000e+01   4.1391542e-02
   2.0000000e+01   1.0963308e-02
   2.1000000e+01  -2.1862613e-02
   2.2000000e+01  -5.2393420e-02
   2.3000000e+01  -7.6632978e-02
   2.4000000e+01  -9.2124482e-02
